name,midpoint,impermeability,score,b-position,strand
chrX_645000,645000,+1,10,129,+
chrX_120000,120000,-1,10,24,-
chrX_785000,785000,+1,10,157,+
chrX_410000,410000,-1,10,82,-
chrX_810000,810000,+1,10,162,+
chrX_410000,410000,-1,10,82,-
chrX_1340000,1340000,+1,10,268,+
chrX_410000,410000,-1,10,82,-
chrX_1385000,1385000,+1,10,277,+
chrX_410000,410000,-1,10,82,-
chrX_1340000,1340000,+1,10,268,+
chrX_810000,810000,-1,10,162,-
chrX_1390000,1390000,+1,10,278,+
chrX_810000,810000,-1,10,162,-
chrX_1625000,1625000,+1,10,325,+
chrX_1340000,1340000,-1,10,268,-
chrX_1910000,1910000,+1,10,382,+
chrX_1340000,1340000,-1,10,268,-
chrX_2360000,2360000,+1,10,472,+
chrX_1340000,1340000,-1,10,268,-
chrX_3000000,3000000,+1,10,600,+
chrX_1340000,1340000,-1,10,268,-
chrX_4215000,4215000,+1,10,843,+
chrX_3000000,3000000,-1,10,600,-
chrX_4390000,4390000,+1,10,878,+
chrX_4210000,4210000,-1,10,842,-
chrX_5425000,5425000,+1,10,1085,+
chrX_4210000,4210000,-1,10,842,-
chrX_6300000,6300000,+1,10,1260,+
chrX_4210000,4210000,-1,10,842,-
chrX_6300000,6300000,+1,10,1260,+
chrX_5425000,5425000,-1,10,1085,-
chrX_6750000,6750000,+1,10,1350,+
chrX_6290000,6290000,-1,10,1258,-
chrX_7180000,7180000,+1,10,1436,+
chrX_6290000,6290000,-1,10,1258,-
chrX_8040000,8040000,+1,10,1608,+
chrX_6290000,6290000,-1,10,1258,-
chrX_8040000,8040000,+1,10,1608,+
chrX_6740000,6740000,-1,10,1348,-
chrX_9465000,9465000,+1,10,1893,+
chrX_8040000,8040000,-1,10,1608,-
chrX_11090000,11090000,+1,10,2218,+
chrX_9455000,9455000,-1,10,1891,-
chrX_11035000,11035000,+1,10,2207,+
chrX_10390000,10390000,-1,10,2078,-
chrX_11930000,11930000,+1,10,2386,+
chrX_11085000,11085000,-1,10,2217,-
chrX_12175000,12175000,+1,10,2435,+
chrX_11465000,11465000,-1,10,2293,-
chrX_12360000,12360000,+1,10,2472,+
chrX_11935000,11935000,-1,10,2387,-
chrX_12510000,12510000,+1,10,2502,+
chrX_12170000,12170000,-1,10,2434,-
chrX_13510000,13510000,+1,10,2702,+
chrX_11930000,11930000,-1,10,2386,-
chrX_13700000,13700000,+1,10,2740,+
chrX_11930000,11930000,-1,10,2386,-
chrX_13690000,13690000,+1,10,2738,+
chrX_12175000,12175000,-1,10,2435,-
chrX_13520000,13520000,+1,10,2704,+
chrX_12175000,12175000,-1,10,2435,-
chrX_13700000,13700000,+1,10,2740,+
chrX_13505000,13505000,-1,10,2701,-
chrX_14525000,14525000,+1,10,2905,+
chrX_13505000,13505000,-1,10,2701,-
chrX_14525000,14525000,+1,10,2905,+
chrX_13700000,13700000,-1,10,2740,-
chrX_14810000,14810000,+1,10,2962,+
chrX_14470000,14470000,-1,10,2894,-
chrX_14810000,14810000,+1,10,2962,+
chrX_14555000,14555000,-1,10,2911,-
chrX_15270000,15270000,+1,10,3054,+
chrX_14500000,14500000,-1,10,2900,-
chrX_15270000,15270000,+1,10,3054,+
chrX_14560000,14560000,-1,10,2912,-
chrX_16050000,16050000,+1,10,3210,+
chrX_14520000,14520000,-1,10,2904,-
chrX_16200000,16200000,+1,10,3240,+
chrX_14520000,14520000,-1,10,2904,-
chrX_16050000,16050000,+1,10,3210,+
chrX_14810000,14810000,-1,10,2962,-
chrX_16205000,16205000,+1,10,3241,+
chrX_14810000,14810000,-1,10,2962,-
chrX_16680000,16680000,+1,10,3336,+
chrX_14520000,14520000,-1,10,2904,-
chrX_16205000,16205000,+1,10,3241,+
chrX_16060000,16060000,-1,10,3212,-
chrX_16680000,16680000,+1,10,3336,+
chrX_16055000,16055000,-1,10,3211,-
chrX_16680000,16680000,+1,10,3336,+
chrX_16200000,16200000,-1,10,3240,-
chrX_17180000,17180000,+1,10,3436,+
chrX_16050000,16050000,-1,10,3210,-
chrX_17180000,17180000,+1,10,3436,+
chrX_16680000,16680000,-1,10,3336,-
chrX_17540000,17540000,+1,10,3508,+
chrX_16055000,16055000,-1,10,3211,-
chrX_17540000,17540000,+1,10,3508,+
chrX_16200000,16200000,-1,10,3240,-
chrX_17540000,17540000,+1,10,3508,+
chrX_16680000,16680000,-1,10,3336,-
