name,midpoint,impermeability,score,b-position,strand
chrX_38052,38057,-1,7.25,19,-
chrX_182872,182877,-1,7.25,91,-
chrX_490006,490010,+1,7.75,245,+
chrX_806657,806663,-1,7.25,403,-
chrX_806670,806676,+1,9.25,403,+
chrX_806746,806752,+1,8.75,403,+
chrX_954907,954915,-1,9.25,477,-
chrX_1339074,1339084,+1,8,669,+
chrX_1345048,1345058,+1,7.25,672,+
chrX_1371046,1371056,+1,8,685,+
chrX_1437287,1437297,+1,8.75,718,+
chrX_1492333,1492343,+1,8,746,+
chrX_1610574,1610584,+1,8,805,+
chrX_1627098,1627108,+1,9.5,813,+
chrX_2159118,2159129,-1,8,1079,-
chrX_2312651,2312664,-1,8,1156,-
chrX_2364890,2364903,-1,7.75,1182,-
chrX_2997061,2997076,-1,9.5,1498,-
chrX_2997112,2997127,-1,10,1498,-
chrX_2997287,2997302,-1,10,1498,-
chrX_3159715,3159730,-1,7.25,1579,-
chrX_3836338,3836362,+1,7.5,1918,+
chrX_4208712,4208741,+1,8.75,2104,+
chrX_4209241,4209270,-1,10,2104,-
chrX_4209265,4209294,+1,9.5,2104,+
chrX_4312575,4312604,-1,8,2156,-
chrX_4359043,4359073,-1,7,2179,-
chrX_4400732,4400762,-1,7.5,2200,-
chrX_4520051,4520084,-1,7,2260,-
chrX_4887235,4887270,-1,7.5,2443,-
chrX_5028906,5028942,+1,8.25,2514,+
chrX_5210204,5210241,-1,7,2605,-
chrX_5429524,5429561,-1,7.5,2714,-
chrX_5429555,5429592,+1,8.5,2714,+
chrX_5532245,5532285,-1,8,2766,-
chrX_5608029,5608069,-1,7,2804,-
chrX_5859896,5859936,-1,9.5,2929,-
chrX_6296472,6296513,+1,7.25,3148,+
chrX_6296509,6296550,+1,7.25,3148,+
chrX_6296537,6296578,+1,10,3148,+
chrX_6387617,6387659,+1,8,3193,+
chrX_7374444,7374495,-1,7,3687,-
chrX_8036351,8036405,-1,10,4018,-
chrX_8036383,8036437,+1,10,4018,+
chrX_8048781,8048835,+1,8.25,4024,+
chrX_8613756,8613813,+1,8.25,4306,+
chrX_8811051,8811109,-1,7.25,4405,-
chrX_9074447,9074507,-1,7,4537,-
chrX_9599207,9599269,-1,7.5,4799,-
chrX_10187871,10187936,+1,7,5093,+
chrX_10353960,10354025,-1,8.75,5177,-
chrX_10664154,10664222,+1,7.25,5332,+
chrX_10667988,10668056,-1,8,5334,-
chrX_10756382,10756452,-1,7.25,5378,-
chrX_10898237,10898307,-1,7,5449,-
chrX_10926057,10926127,-1,7,5463,-
chrX_11094058,11094129,-1,10,5547,-
chrX_11094159,11094230,-1,9.5,5547,-
chrX_11094175,11094246,-1,8.25,5547,-
chrX_11361265,11361334,+1,7.25,5680,+
chrX_11479217,11479287,-1,7.75,5739,-
chrX_11780663,11780735,-1,7.75,5890,-
chrX_11899193,11899266,+1,7,5949,+
chrX_11899295,11899368,+1,8,5949,+
chrX_11937388,11937461,-1,8.25,5968,-
chrX_12073694,12073767,-1,7,6036,-
chrX_12363558,12363631,+1,8.75,6181,+
chrX_12730185,12730260,-1,9.5,6365,-
chrX_12730230,12730305,+1,7.25,6365,+
chrX_12749240,12749315,+1,7.25,6374,+
chrX_12781388,12781463,-1,8.25,6390,-
chrX_12825519,12825594,+1,7.25,6412,+
chrX_12852865,12852940,+1,7,6426,+
chrX_13021866,13021940,+1,7,6510,+
chrX_13514485,13514560,+1,10,6757,+
chrX_13978448,13978522,+1,7,6989,+
chrX_14525829,14525904,-1,10,7262,-
chrX_14525852,14525927,+1,9.5,7262,+
chrX_14719300,14719375,-1,7.5,7359,-
chrX_14922912,14922987,+1,8,7461,+
chrX_15348670,15348744,-1,7.25,7674,-
chrX_15644857,15644930,+1,7,7822,+
chrX_15649360,15649433,-1,7,7824,-
chrX_15736601,15736674,-1,7.75,7868,-
chrX_15811471,15811544,-1,7.75,7905,-
chrX_15963936,15964012,-1,7.5,7982,-
chrX_16202446,16202523,-1,7.5,8101,-
chrX_16327385,16327462,-1,8.75,8163,-
chrX_16682025,16682103,-1,7.25,8341,-
chrX_16682098,16682176,-1,10,8341,-
chrX_16756633,16756711,+1,7.25,8378,+
chrX_16951562,16951640,-1,9.25,8475,-
chrX_17181290,17181369,-1,7.75,8590,-
chrX_17544440,17544520,+1,8.25,8772,+
chrX_17545658,17545738,-1,8.25,8772,-
