name,midpoint,impermeability
chrX_645000,21570000,+1
chrX_120000,21045000,-1
chrX_785000,21710000,+1
chrX_410000,21335000,-1
chrX_810000,21735000,+1
chrX_410000,21335000,-1
chrX_1340000,22265000,+1
chrX_410000,21335000,-1
chrX_1385000,22310000,+1
chrX_410000,21335000,-1
chrX_1340000,22265000,+1
chrX_810000,21735000,-1
chrX_1390000,22315000,+1
chrX_810000,21735000,-1
chrX_1625000,22550000,+1
chrX_1340000,22265000,-1
chrX_1910000,22835000,+1
chrX_1340000,22265000,-1
chrX_2360000,23285000,+1
chrX_1340000,22265000,-1
chrX_3000000,23925000,+1
chrX_1340000,22265000,-1
chrX_4215000,25140000,+1
chrX_3000000,23925000,-1
chrX_4390000,25315000,+1
chrX_4210000,25135000,-1
chrX_5425000,26350000,+1
chrX_4210000,25135000,-1
chrX_6300000,27225000,+1
chrX_4210000,25135000,-1
chrX_6300000,27225000,+1
chrX_5425000,26350000,-1
chrX_6750000,27675000,+1
chrX_6290000,27215000,-1
chrX_7180000,28105000,+1
chrX_6290000,27215000,-1
chrX_8040000,28965000,+1
chrX_6290000,27215000,-1
chrX_8040000,28965000,+1
chrX_6740000,27665000,-1
chrX_9465000,30390000,+1
chrX_8040000,28965000,-1
chrX_11090000,32015000,+1
chrX_9455000,30380000,-1
chrX_11035000,31960000,+1
chrX_10390000,31315000,-1
chrX_11930000,32855000,+1
chrX_11085000,32010000,-1
chrX_12175000,33100000,+1
chrX_11465000,32390000,-1
chrX_12360000,33285000,+1
chrX_11935000,32860000,-1
chrX_12510000,33435000,+1
chrX_12170000,33095000,-1
chrX_13510000,34435000,+1
chrX_11930000,32855000,-1
chrX_13700000,34625000,+1
chrX_11930000,32855000,-1
chrX_13690000,34615000,+1
chrX_12175000,33100000,-1
chrX_13520000,34445000,+1
chrX_12175000,33100000,-1
chrX_13700000,34625000,+1
chrX_13505000,34430000,-1
chrX_14525000,35450000,+1
chrX_13505000,34430000,-1
chrX_14525000,35450000,+1
chrX_13700000,34625000,-1
chrX_14810000,35735000,+1
chrX_14470000,35395000,-1
chrX_14810000,35735000,+1
chrX_14555000,35480000,-1
chrX_15270000,36195000,+1
chrX_14500000,35425000,-1
chrX_15270000,36195000,+1
chrX_14560000,35485000,-1
chrX_16050000,36975000,+1
chrX_14520000,35445000,-1
chrX_16200000,37125000,+1
chrX_14520000,35445000,-1
chrX_16050000,36975000,+1
chrX_14810000,35735000,-1
chrX_16205000,37130000,+1
chrX_14810000,35735000,-1
chrX_16680000,37605000,+1
chrX_14520000,35445000,-1
chrX_16205000,37130000,+1
chrX_16060000,36985000,-1
chrX_16680000,37605000,+1
chrX_16055000,36980000,-1
chrX_16680000,37605000,+1
chrX_16200000,37125000,-1
chrX_17180000,38105000,+1
chrX_16050000,36975000,-1
chrX_17180000,38105000,+1
chrX_16680000,37605000,-1
chrX_17540000,38465000,+1
chrX_16055000,36980000,-1
chrX_17540000,38465000,+1
chrX_16200000,37125000,-1
chrX_17540000,38465000,+1
chrX_16680000,37605000,-1
