name,midpoint,impermeability
chrX_80000,82500,+1
chrX_1780000,1782500,-1
chrX_120000,122500,+1
chrX_555000,557500,-1
chrX_120000,122500,+1
chrX_640000,642500,-1
chrX_130000,132500,+1
chrX_190000,192500,-1
chrX_270000,272500,+1
chrX_1200000,1202500,-1
chrX_275000,277500,+1
chrX_1750000,1752500,-1
chrX_295000,297500,+1
chrX_425000,427500,-1
chrX_295000,297500,+1
chrX_495000,497500,-1
chrX_300000,302500,+1
chrX_335000,337500,-1
chrX_300000,302500,+1
chrX_475000,477500,-1
chrX_405000,407500,+1
chrX_1340000,1342500,-1
chrX_405000,407500,+1
chrX_800000,802500,-1
chrX_405000,407500,+1
chrX_1385000,1387500,-1
chrX_770000,772500,+1
chrX_800000,802500,-1
chrX_805000,807500,+1
chrX_1620000,1622500,-1
chrX_805000,807500,+1
chrX_1340000,1342500,-1
chrX_805000,807500,+1
chrX_1440000,1442500,-1
chrX_805000,807500,+1
chrX_1390000,1392500,-1
chrX_800000,802500,+1
chrX_1905000,1907500,-1
chrX_820000,822500,+1
chrX_865000,867500,-1
chrX_1335000,1337500,+1
chrX_2995000,2997500,-1
chrX_1340000,1342500,+1
chrX_1385000,1387500,-1
chrX_1340000,1342500,+1
chrX_1625000,1627500,-1
chrX_1340000,1342500,+1
chrX_1435000,1437500,-1
chrX_1340000,1342500,+1
chrX_1905000,1907500,-1
chrX_1385000,1387500,+1
chrX_1905000,1907500,-1
chrX_1390000,1392500,+1
chrX_1430000,1432500,-1
chrX_1390000,1392500,+1
chrX_1485000,1487500,-1
chrX_1440000,1442500,+1
chrX_1490000,1492500,-1
chrX_1545000,1547500,+1
chrX_1620000,1622500,-1
chrX_1625000,1627500,+1
chrX_2360000,2362500,-1
chrX_1625000,1627500,+1
chrX_1900000,1902500,-1
chrX_1630000,1632500,+1
chrX_2995000,2997500,-1
chrX_1640000,1642500,+1
chrX_1710000,1712500,-1
chrX_1640000,1642500,+1
chrX_1760000,1762500,-1
chrX_1775000,1777500,+1
chrX_1895000,1897500,-1
chrX_1860000,1862500,+1
chrX_2995000,2997500,-1
chrX_1900000,1902500,+1
chrX_2995000,2997500,-1
chrX_1900000,1902500,+1
chrX_1990000,1992500,-1
chrX_1905000,1907500,+1
chrX_2360000,2362500,-1
chrX_1965000,1967500,+1
chrX_1990000,1992500,-1
chrX_2015000,2017500,+1
chrX_2050000,2052500,-1
chrX_2035000,2037500,+1
chrX_3185000,3187500,-1
chrX_2365000,2367500,+1
chrX_2995000,2997500,-1
chrX_2955000,2957500,+1
chrX_2980000,2982500,-1
chrX_2995000,2997500,+1
chrX_4390000,4392500,-1
chrX_2995000,2997500,+1
chrX_4210000,4212500,-1
chrX_3095000,3097500,+1
chrX_3125000,3127500,-1
chrX_3115000,3117500,+1
chrX_4140000,4142500,-1
chrX_4055000,4057500,+1
chrX_4105000,4107500,-1
chrX_4205000,4207500,+1
chrX_5425000,5427500,-1
chrX_4210000,4212500,+1
chrX_4390000,4392500,-1
chrX_4210000,4212500,+1
chrX_4250000,4252500,-1
chrX_4205000,4207500,+1
chrX_4295000,4297500,-1
chrX_4215000,4217500,+1
chrX_4455000,4457500,-1
chrX_4320000,4322500,+1
chrX_4575000,4577500,-1
chrX_4345000,4347500,+1
chrX_5140000,5142500,-1
chrX_5065000,5067500,+1
chrX_5090000,5092500,-1
chrX_5425000,5427500,+1
chrX_6295000,6297500,-1
chrX_5430000,5432500,+1
chrX_7180000,7182500,-1
chrX_5780000,5782500,+1
chrX_5835000,5837500,-1
chrX_5810000,5812500,+1
chrX_5835000,5837500,-1
chrX_6295000,6297500,+1
chrX_8035000,8037500,-1
chrX_6295000,6297500,+1
chrX_7180000,7182500,-1
chrX_6885000,6887500,+1
chrX_7075000,7077500,-1
chrX_7085000,7087500,+1
chrX_7405000,7407500,-1
chrX_7180000,7182500,+1
chrX_8035000,8037500,-1
chrX_7660000,7662500,+1
chrX_8025000,8027500,-1
chrX_7785000,7787500,+1
chrX_7820000,7822500,-1
chrX_7815000,7817500,+1
chrX_8020000,8022500,-1
chrX_7955000,7957500,+1
chrX_8020000,8022500,-1
chrX_8040000,8042500,+1
chrX_9465000,9467500,-1
chrX_8040000,8042500,+1
chrX_8155000,8157500,-1
chrX_9140000,9142500,+1
chrX_9165000,9167500,-1
chrX_9400000,9402500,+1
chrX_9425000,9427500,-1
chrX_9465000,9467500,+1
chrX_11090000,11092500,-1
chrX_10565000,10567500,+1
chrX_10640000,10642500,-1
chrX_10635000,10637500,+1
chrX_10670000,10672500,-1
chrX_11090000,11092500,+1
chrX_11935000,11937500,-1
chrX_11095000,11097500,+1
chrX_11520000,11522500,-1
chrX_11095000,11097500,+1
chrX_12360000,12362500,-1
chrX_11210000,11212500,+1
chrX_11260000,11262500,-1
chrX_11460000,11462500,+1
chrX_11485000,11487500,-1
chrX_11470000,11472500,+1
chrX_11600000,11602500,-1
chrX_11810000,11812500,+1
chrX_11830000,11832500,-1
chrX_11900000,11902500,+1
chrX_11930000,11932500,-1
chrX_11935000,11937500,+1
chrX_12360000,12362500,-1
chrX_11935000,11937500,+1
chrX_13700000,13702500,-1
chrX_11935000,11937500,+1
chrX_13510000,13512500,-1
chrX_12170000,12172500,+1
chrX_12195000,12197500,-1
chrX_12360000,12362500,+1
chrX_13700000,13702500,-1
chrX_12360000,12362500,+1
chrX_13510000,13512500,-1
chrX_12635000,12637500,+1
chrX_12665000,12667500,-1
chrX_13440000,13442500,+1
chrX_13510000,13512500,-1
chrX_13440000,13442500,+1
chrX_13695000,13697500,-1
chrX_13515000,13517500,+1
chrX_13695000,13697500,-1
chrX_13515000,13517500,+1
chrX_14520000,14522500,-1
chrX_13525000,13527500,+1
chrX_13590000,13592500,-1
chrX_13590000,13592500,+1
chrX_13695000,13697500,-1
chrX_13660000,13662500,+1
chrX_13690000,13692500,-1
chrX_13700000,13702500,+1
chrX_14525000,14527500,-1
chrX_14480000,14482500,+1
chrX_14510000,14512500,-1
chrX_14520000,14522500,+1
chrX_14810000,14812500,-1
chrX_14525000,14527500,+1
chrX_16055000,16057500,-1
chrX_14520000,14522500,+1
chrX_16205000,16207500,-1
chrX_14540000,14542500,+1
chrX_14895000,14897500,-1
chrX_14810000,14812500,+1
chrX_14845000,14847500,-1
chrX_14815000,14817500,+1
chrX_15275000,15277500,-1
chrX_14865000,14867500,+1
chrX_14895000,14897500,-1
chrX_15175000,15177500,+1
chrX_15200000,15202500,-1
chrX_15275000,15277500,+1
chrX_15355000,15357500,-1
chrX_15345000,15347500,+1
chrX_15375000,15377500,-1
chrX_15735000,15737500,+1
chrX_16050000,16052500,-1
chrX_15735000,15737500,+1
chrX_16205000,16207500,-1
chrX_16000000,16002500,+1
chrX_16050000,16052500,-1
chrX_16055000,16057500,+1
chrX_16205000,16207500,-1
chrX_16055000,16057500,+1
chrX_16680000,16682500,-1
chrX_16050000,16052500,+1
chrX_17180000,17182500,-1
chrX_16055000,16057500,+1
chrX_17545000,17547500,-1
chrX_16055000,16057500,+1
chrX_16325000,16327500,-1
chrX_16205000,16207500,+1
chrX_16680000,16682500,-1
chrX_16205000,16207500,+1
chrX_17545000,17547500,-1
chrX_16205000,16207500,+1
chrX_16320000,16322500,-1
chrX_16685000,16687500,+1
chrX_17545000,17547500,-1
chrX_16685000,16687500,+1
chrX_17180000,17182500,-1
chrX_16855000,16857500,+1
chrX_16900000,16902500,-1
chrX_17180000,17182500,+1
chrX_17540000,17542500,-1
