name,position,length,probability
Prex-28,14525823,1,1
rex-43,13700797,1,1
rex-35,16682015,1,1
rex-34,5429511,1,1
rex-8,11094129,1,1
rex-40,806703,1,1
rex-33,6296501,1,1
rex-16,11937457,1,1
rex-45,1345039,1,1
rex-23,4209254,1,1
rex-32,2997077,1,1
Prex-7,1627111,1,1
rex-14,8036363,1,1
Prex-1,410189,1,1
rex-47,9465796,1,1
rex-1,4395609,1,1
rex-24,7181758,1,1
rex-44,1323202,1,1
Prex-30,16056503,1,1
rex-39,14813494,1,1
rex-2,1909564,1,1
rex-42,17181330,1,1
rex-46,15736582,1,1
rex-36,11899184,1,1
rex-6,12363153,1,1
rex-7,11924275,1,1
Prex-31,16205944,1,1
rex-28,10668006,1,1
rex-18,1379678,1,1
Prex-22,13514564,1,1
Prex-6,1389606,1,1
rex-31,12730204,1,1
rex-25,8404339,1,1
rex-41,17544537,1,1
Prex-14,7334457,1,1
rex-37,8811062,1,1
rex-21,1888595,1,1
Prex-23,13696333,1,1
rex-20,1682738,1,1
Prex-11,2809799,1,1
Prex-3,1302480,1,1
Prex-26,14027065,1,1
rex-26,10353987,1,1
Prex-27,14480338,1,1
Prex-16,8737190,1,1
rex-29,10756297,1,1
Prex-15,8019825,1,1
Prex-20,12452335,1,1
rex-4,11522205,1,1
rex-17,8048784,1,1
rex-38,5859903,1,1
Prex-2,1223959,1,1
rex-5,11472575,1,1
Prex-25,13920715,1,1
rex-19,1492424,1,1
rex-27,10623247,1,1
Prex-9,2583339,1,1
rex-22,4010652,1,1
rex-30,11223019,1,1
Prex-33,16944007,1,1
rex-3,11361260,1,1
Prex-21,12890286,1,1
Prex-8,2227265,1,1
Prex-10,2731772,1,1
